frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.13582554517133957,True,False,False,True,7.572328090667725,7.098292062568091
8,0.27165109034267915,True,False,False,True,0.5654501914978027,0.4285596482319425
12,0.4074766355140187,True,False,False,True,1.1052823066711426,1.06859445685579
16,0.5433021806853583,True,False,False,True,1.724884033203125,1.623722095669289
20,0.6791277258566979,True,False,False,True,1.775679588317871,1.711379912860345
24,0.8149532710280374,True,False,False,True,0.18617773056030273,0.13712448807179528
28,0.950778816199377,True,False,True,True,0.6707592010498047,0.5870151676866779
32,1.0866043613707166,True,False,True,True,34.15413284301758,27.16574834833809
36,1.222429906542056,True,False,True,True,13.37060260772705,11.27244404337603
40,1.3582554517133958,True,False,True,True,4.187689304351807,3.203801432016298
44,1.4940809968847353,True,False,True,True,3.7638206481933594,2.676888473916493
