standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight
0,0,0.0,0.0,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
2,2,0.07090909090909091,0.07090909090909091,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
4,4,0.14181818181818182,0.14181818181818182,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
6,6,0.21272727272727274,0.21272727272727274,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
8,8,0.28363636363636363,0.28363636363636363,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
10,10,0.35454545454545455,0.35454545454545455,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
12,12,0.4254545454545455,0.4254545454545455,0.0,0.0,0.8312423229217528,0.8312423229217529,0.8312423229217529
14,14,0.4963636363636364,0.4963636363636364,0.0,0.0,1.1586723327636719,1.1586723327636719,1.1586723327636719
16,16,0.5672727272727273,0.5672727272727273,0.0,0.0,0.9704238176345825,0.9704238176345825,0.9704238176345825
18,18,0.6381818181818182,0.6381818181818182,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
20,20,0.7090909090909091,0.7090909090909091,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
22,22,0.78,0.78,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
24,24,0.850909090909091,0.850909090909091,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
26,26,0.9218181818181819,0.9218181818181819,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
28,28,0.9927272727272728,0.9927272727272728,0.0,0.0,0.8933765292167664,0.8933765292167664,0.8933765292167664
30,30,1.0636363636363637,1.0636363636363637,0.0,0.0,1.0292459726333618,1.0292459726333618,1.0292459726333618
32,32,1.1345454545454545,1.1345454545454545,0.0,0.0,1.0050405263900757,1.0050405263900757,1.0050405263900757
34,34,1.2054545454545456,1.2054545454545456,0.0,0.0,1.0317341089248657,1.0317341089248657,1.0317341089248657
36,36,1.2763636363636364,1.2763636363636364,0.0,0.0,1.1179540157318115,1.1179540157318115,1.1179540157318115
38,38,1.3472727272727274,1.3472727272727274,0.0,0.0,1.088433861732483,1.088433861732483,1.088433861732483
40,40,1.4181818181818182,1.4181818181818182,0.0,0.0,0.9675686359405518,0.9675686359405518,0.9675686359405518
42,42,1.489090909090909,1.489090909090909,0.0,0.0,0.8200116157531737,0.8200116157531738,0.8200116157531738
44,44,1.56,1.56,0.0,0.0,0.7413607835769653,0.7413607835769653,0.7413607835769653
46,46,1.6309090909090909,1.6309090909090909,0.0,0.0,0.9540835618972778,0.9540835618972778,0.9540835618972778
48,48,1.701818181818182,1.701818181818182,0.0,0.0,1.2161434888839722,1.2161434888839722,1.2161434888839722
50,50,1.7727272727272727,1.7727272727272727,0.0,0.0,1.1906023025512695,1.1906023025512695,1.1906023025512695
52,52,1.8436363636363637,1.8436363636363637,0.0,0.0,1.0292880535125732,1.0292880535125732,1.0292880535125732
54,54,1.9145454545454546,1.9145454545454546,0.0,0.0,0.9450708031654357,0.9450708031654358,0.9450708031654358
56,56,1.9854545454545456,1.9854545454545456,0.0,0.0,0.948669970035553,0.948669970035553,0.948669970035553
58,58,2.0563636363636366,2.0563636363636366,0.0,0.0,1.239241123199463,1.239241123199463,1.239241123199463
60,60,2.1272727272727274,2.1272727272727274,0.0,0.0,1.903878927230835,1.903878927230835,1.903878927230835
62,62,2.1981818181818182,2.1981818181818182,0.0,0.0,2.2026445865631104,2.2026445865631104,2.2026445865631104
64,64,2.269090909090909,2.269090909090909,0.0,0.0,2.2026445865631104,2.2026445865631104,2.2026445865631104
66,66,2.34,2.34,0.0,0.0,1.9918323755264282,1.9918323755264282,1.9918323755264282
68,68,2.410909090909091,2.410909090909091,0.0,0.0,1.5394387245178223,1.5394387245178223,1.5394387245178223
70,70,2.481818181818182,2.481818181818182,0.0,0.0,1.3561663627624512,1.3561663627624512,1.3561663627624512
72,72,2.5527272727272727,2.5527272727272727,0.0,0.0,1.3215289115905762,1.3215289115905762,1.3215289115905762
74,74,2.6236363636363635,2.6236363636363635,0.0,0.0,1.0773166418075562,1.0773166418075562,1.0773166418075562
76,76,2.694545454545455,2.694545454545455,0.0,0.0,0.766350746154785,0.7663507461547852,0.7663507461547852
78,78,2.7654545454545456,2.7654545454545456,0.0,0.0,0.6872114539146423,0.6872114539146423,0.6872114539146423
