word,sample_id,category,source_kind,score,band,score_scale_reason,capture_quality_status,capture_quality_reason,semantic_floor_used,semantic_floor_source,semantic_floor_reason,semantic_floor_direction_cosine,semantic_floor_amplitude_ratio,semantic_floor_query_segment_coverage,jump_two_finger_shape_mean,flower_opening_passed,flower_opening_score,flower_opening_delta_score,flower_opening_range_score,flower_opening_delta,full_inversion_rate,full_kendall_tau,full_adjacent_backtrack_rate,full_max_backtrack_norm,full_span_norm,full_large_span_norm,full_unique_index_ratio,full_disorder_span_score,full_adjacent_disorder_span_score,full_backtrack_span_score,full_content_order_score,full_mean_nearest_distance,full_anchor_indices,action_inversion_rate,action_kendall_tau,action_adjacent_backtrack_rate,action_max_backtrack_norm,action_span_norm,action_large_span_norm,action_unique_index_ratio,action_disorder_span_score,action_adjacent_disorder_span_score,action_backtrack_span_score,action_content_order_score,action_mean_nearest_distance,action_anchor_indices,left_hand_presence,right_hand_presence,two_hand_presence,alignment_mode,used_action_window,standard_length,query_length,variant_kind,expected,request_id,query_json,standard_json,error,action_anchor_count,action_enabled,action_max_nearest_distance,action_query_length,capture_fps,dtw_distance,frame_count,full_anchor_count,full_enabled,full_max_nearest_distance,full_query_length,normalized_distance,rationale,saved_result_path,saved_standard_json,semantic_floor_fallback_from_reason,semantic_floor_score
花,web_20260523_063217_bd40ee0c,web_reliable_nonlow,saved_web,79.2439729650452,normal_like,visible_semantic_core_scale,score_valid,score_valid,False,short_visible_core,query_not_short_core_capture,,,,,True,1.0,1.0,1.0,0.38655176758766174,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.039628482972136225,"0,0,0,0,0",0.0,0.7333333333333333,0.0,full_sequence_with_action_window_diagnostics,False,53,30,,,web_20260523_063217_bd40ee0c,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_063217_bd40ee0c/holistic/user_花_web_20260523_063217_bd40ee0c_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.039628482972136225,8,18.0,0.0313652862695627,30,5,True,0.032198142414860687,30,0.03373262992036138,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_063217_bd40ee0c/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,0.0
花,web_20260523_063230_6a3bad1f,web_reliable_nonlow,saved_web,79.67382118869443,normal_like,visible_semantic_core_scale,score_valid,score_valid,False,short_visible_core,query_not_short_core_capture,,,,,True,0.8261124920845032,1.0,0.6838408946990967,0.2672996520996094,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.039628482972136225,"0,0,0,0,0",0.0,0.68,0.0,full_sequence_with_action_window_diagnostics,False,53,25,,,web_20260523_063230_6a3bad1f,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_063230_6a3bad1f/holistic/user_花_web_20260523_063230_6a3bad1f_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.039628482972136225,7,18.0,0.031183511685895365,25,5,True,0.032198142414860687,25,0.032948222550967105,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_063230_6a3bad1f/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,0.0
花,web_20260523_071212_4547d033,web_reliable_nonlow,saved_web,79.55953575021618,normal_like,visible_semantic_core_scale,score_valid,score_valid,False,short_visible_core,query_not_short_core_capture,,,,,True,1.0,1.0,1.0,0.43369776010513306,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.039628482972136225,"0,0,0,0,0",0.0,0.6,0.0,full_sequence_with_action_window_diagnostics,False,53,25,,,web_20260523_071212_4547d033,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071212_4547d033/holistic/user_花_web_20260523_071212_4547d033_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.039628482972136225,7,18.0,0.03020218758834384,25,5,True,0.032198142414860687,25,0.03315636224912292,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071212_4547d033/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,0.0
花,web_20260523_071306_071a2172,web_reliable_nonlow,saved_web,76.92287432056455,normal_like,flower_short_visible_core_semantic_floor,score_valid,score_valid,True,short_visible_core,used,,,0.771474744130897,,True,0.8674894851446152,1.0,0.7590717911720276,0.2109459638595581,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.039628482972136225,"0,0,0,0,0",0.06666666666666667,0.6,0.06666666666666667,full_sequence_with_action_window_diagnostics,False,53,15,,,web_20260523_071306_071a2172,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071306_071a2172/holistic/user_花_web_20260523_071306_071a2172_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.039628482972136225,6,10.0,0.037068346264014077,15,5,True,0.032198142414860687,15,0.0394545692308529,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071306_071a2172/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,76.92287432056455
花,web_20260523_071320_415e2975,web_reliable_nonlow,saved_web,78.39183513989589,normal_like,visible_semantic_core_scale,score_valid,score_valid,True,short_visible_core,used,,,0.7320061922771187,,True,0.6533577394485475,0.25553178787231445,0.9788516998291016,0.06566381454467773,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.039628482972136225,"0,0,0,0,0",0.0,0.8,0.0,full_sequence_with_action_window_diagnostics,False,53,15,,,web_20260523_071320_415e2975,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071320_415e2975/holistic/user_花_web_20260523_071320_415e2975_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.039628482972136225,6,10.0,0.0334019527673827,15,5,True,0.032198142414860687,15,0.03530030911343033,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071320_415e2975/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,74.82417009537517
花,web_20260523_071339_f3f432d2,web_reliable_nonlow,saved_web,79.4095590622068,normal_like,visible_semantic_core_scale,score_valid,score_valid,False,short_visible_core,query_not_short_core_capture,,,,,True,1.0,1.0,1.0,0.6432228982448578,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.039628482972136225,"0,0,0,0,0",0.0,0.68,0.0,full_sequence_with_action_window_diagnostics,False,53,25,,,web_20260523_071339_f3f432d2,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071339_f3f432d2/holistic/user_花_web_20260523_071339_f3f432d2_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.039628482972136225,7,18.0,0.031669949530284784,25,5,True,0.032198142414860687,25,0.033429957896616506,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071339_f3f432d2/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,0.0
花,web_20260523_071415_2505a91e,web_reliable_nonlow,saved_web,79.11559662089849,normal_like,visible_semantic_core_scale,score_valid,score_valid,False,short_visible_core,query_not_short_core_capture,,,,,True,1.0,1.0,1.0,0.46697109937667847,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.04,0.8,0.04,full_sequence_with_action_window_diagnostics,False,53,25,,,web_20260523_071415_2505a91e,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071415_2505a91e/holistic/user_花_web_20260523_071415_2505a91e_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.032198142414860687,7,18.0,0.03223470278262573,25,5,True,0.032198142414860687,25,0.03396772242569748,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_071415_2505a91e/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,0.0
花,web_20260602_212933_7ad54f26,web_needs_recapture,saved_web,14.862884114352834,low,default,needs_recapture,flower_core_hand_presence_low,False,short_visible_core,insufficient_core_hand_presence,,,,,False,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,full_sequence_with_action_window_diagnostics,False,53,15,,,web_20260602_212933_7ad54f26,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260602_212933_7ad54f26/holistic/user_花_web_20260602_212933_7ad54f26_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.032198142414860687,6,10.0,0.02687464750960641,15,5,True,0.032198142414860687,15,0.22875636957281106,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260602_212933_7ad54f26/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,0.0
花,web_20260602_212951_e1173da1,web_reliable_nonlow,saved_web,77.62491144989006,normal_like,visible_semantic_core_scale,score_valid,score_valid,False,short_visible_core,action_window_coverage_low,,,,,True,1.0,1.0,1.0,0.4531339406967163,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.039628482972136225,"0,0,0,0,0",0.0,0.8,0.0,full_sequence_with_action_window_diagnostics,False,53,15,,,web_20260602_212951_e1173da1,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260602_212951_e1173da1/holistic/user_花_web_20260602_212951_e1173da1_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.039628482972136225,6,10.0,0.03463974541443352,15,5,True,0.032198142414860687,15,0.03672585903920213,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260602_212951_e1173da1/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,0.0
花,web_20260602_213015_411a2ecd,web_reliable_nonlow,saved_web,78.86089449865257,normal_like,visible_semantic_core_scale,score_valid,score_valid,False,short_visible_core,query_not_short_core_capture,,,,,True,1.0,1.0,1.0,0.6334007680416107,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.032198142414860687,"0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.66,0.039628482972136225,"0,0,0,0,0",0.0,0.6333333333333333,0.0,full_sequence_with_action_window_diagnostics,False,53,30,,,web_20260602_213015_411a2ecd,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260602_213015_411a2ecd/holistic/user_花_web_20260602_213015_411a2ecd_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,5,True,0.039628482972136225,10,18.0,0.029551493407142127,30,5,True,0.032198142414860687,30,0.034435283636415376,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260602_213015_411a2ecd/scoring_result.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,,0.0
