request_id,generated_at,target_word,frame_count,timeline_frame_count,capture_fps,standard_json,saved_standard_json,standard_source,query_json,error,score,band,diagnosis,triage_priority,sample_advice,dtw_distance,normalized_distance,score_distance,alignment_mode,used_action_window,score_scale_reason,capture_quality_status,capture_quality_reason,capture_quality_message,capture_quality_reliable,semantic_core_presence,semantic_core_presence_full,semantic_core_presence_window,semantic_core_guard_passed,semantic_floor_reason,semantic_floor_source,semantic_floor_score,semantic_floor_used,semantic_floor_direction_cosine,semantic_floor_vertical_score,semantic_floor_amplitude_ratio,semantic_floor_horizontal_to_vertical,semantic_floor_relation_presence,semantic_floor_query_segment_start,semantic_floor_query_segment_end,semantic_floor_query_segment_coverage,semantic_floor_fallback_from_reason,semantic_floor_fallback_from_direction_cosine,jump_two_finger_shape_mean,jump_two_finger_shape_range,jump_two_finger_shape_valid_count,flower_opening_passed,flower_opening_score,flower_opening_hand,left_hand_presence,right_hand_presence,two_hand_presence,pose_presence,face_presence,presence_penalty,required_presence_penalty,semantic_delta_penalty,semantic_anchor_penalty,group_left_hand,group_right_hand,group_left_hand_shape,group_right_hand_shape,group_two_hand_relation
web_20260523_031304_c5ddfa0c,2026-05-23T03:13:05,花,15,30,10.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_031304_c5ddfa0c/holistic/user_花_web_20260523_031304_c5ddfa0c_holistic_results.json,,78.40091878671288,normal_like,flower_core_accepted,normal,开花核心段可评分；继续保持手部完整入画和清晰张开动态。,0.03293777774260642,0.03528350822490771,0.03528350822490771,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,核心语义可评分。,True,1.0,0.6,1.0,True,used,short_visible_core,78.17871711735899,True,,,,,,8,19,0.6713058682679639,,,,,,True,1.0,right_hand_shape,0.0,0.6,0.0,1.0,1.0,0.007296127110228407,0.0,0.02294283561022618,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260523_031317_966d9c05,2026-05-23T03:13:20,花,30,54,18.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_031317_966d9c05/holistic/user_花_web_20260523_031317_966d9c05_holistic_results.json,,79.24021806825945,normal_like,flower_core_accepted,normal,开花核心段可评分；继续保持手部完整入画和清晰张开动态。,0.030226870929727784,0.03373950076382513,0.03373950076382513,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,核心语义可评分。,True,0.9,0.6333333333333333,0.9,True,query_not_short_core_capture,short_visible_core,0.0,False,,,,,,,,,,,,,,True,1.0,right_hand_shape,0.0,0.6333333333333333,0.0,1.0,1.0,0.005724197285667003,0.0,0.027853943154470574,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260523_031333_6c5f7460,2026-05-23T03:13:35,花,30,54,18.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_031333_6c5f7460/holistic/user_花_web_20260523_031333_6c5f7460_holistic_results.json,,77.23927680674187,normal_like,flower_core_accepted,normal,开花核心段可评分；继续保持手部完整入画和清晰张开动态。,0.03459738763915712,0.03744800325425647,0.03744800325425647,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,核心语义可评分。,True,0.875,0.8333333333333334,0.875,True,query_not_short_core_capture,short_visible_core,0.0,False,,,,,,,,,,,,,,True,0.7603316736221314,right_hand_shape,0.0,0.8333333333333334,0.0,1.0,1.0,0.0037073816617014233,0.0,0.027275822229167586,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260523_031345_3b07a113,2026-05-23T03:13:47,花,30,54,18.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_031345_3b07a113/holistic/user_花_web_20260523_031345_3b07a113_holistic_results.json,,54.42538927680064,low,flower_opening_guard_failed,semantic_mismatch,从撮合状态开始，慢慢张开五指并保持约 0.5 秒；当前张开分数 0.09。,0.031007023471145694,0.07300073116278355,0.07300073116278355,full_sequence_with_action_window_diagnostics,False,default,semantic_mismatch,flower_opening_guard_failed,手部已入画，但未检测到清晰的手指张开/绽放动态。,True,0.7666666666666667,0.7666666666666667,0.75,False,query_not_short_core_capture,short_visible_core,0.0,False,,,,,,,,,,,,,,False,0.08636298179626464,right_hand_shape,0.0,0.7666666666666667,0.0,1.0,1.0,0.0005635220125786164,0.0,0.024004446505449525,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260523_032325_7e7b2476,2026-05-23T03:23:27,花,30,54,18.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_032325_7e7b2476/holistic/user_花_web_20260523_032325_7e7b2476_holistic_results.json,,79.18631608843909,normal_like,flower_core_accepted,normal,开花核心段可评分；继续保持手部完整入画和清晰张开动态。,0.02865170443619024,0.0338381684196839,0.0338381684196839,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,核心语义可评分。,True,1.0,0.5,1.0,True,query_not_short_core_capture,short_visible_core,0.0,False,,,,,,,,,,,,,,True,1.0,right_hand_shape,0.0,0.5,0.0,1.0,1.0,0.012011916583912617,0.0,0.022952708096286422,0.005545320314360563,0.0,0.0,0.0,0.0,0.0
web_20260523_032344_77c9db0c,2026-05-23T03:23:49,花,60,60,20.0,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_032344_77c9db0c/holistic/user_花_web_20260523_032344_77c9db0c_holistic_results.json,,66.46484471770337,borderline,flower_core_accepted,borderline_review,保持手部靠近摄像头，完整覆盖撮合到张开；全段覆盖 0.77、窗口覆盖 0.76。,0.031358949092213685,0.059232069201087936,0.059232069201087936,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,核心语义可评分。,True,0.7666666666666667,0.7666666666666667,0.7647058823529411,True,query_not_short_core_capture,short_visible_core,0.0,False,,,,,,,,,,,,,,True,1.0,right_hand_shape,0.0,0.7666666666666667,0.0,1.0,1.0,0.0005635220125786164,0.0,0.026913039656250904,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260523_041345_488a62c3,2026-05-23T04:13:49,花,53,105,29.44954128440367,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_041345_488a62c3/holistic/user_花_web_20260523_041345_488a62c3_holistic_results.json,,79.2397950568015,normal_like,flower_core_accepted,normal,开花核心段可评分；继续保持手部完整入画和清晰张开动态。,0.029482937069314468,0.03374027482561618,0.03374027482561618,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,核心语义可评分。,True,1.0,0.7924528301886793,1.0,True,query_not_short_core_capture,short_visible_core,0.0,False,,,,,,,,,,,,,,True,0.8892769348621369,right_hand_shape,0.0,0.7924528301886793,0.0,1.0,1.0,0.0017795431976166832,0.0,0.013401847665030988,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260523_041350_ad02e9e5,2026-05-23T04:13:51,跳,19,37,14.682539682539682,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_041350_ad02e9e5/holistic/user_跳_web_20260523_041350_ad02e9e5_holistic_results.json,,84.97386773835608,normal_like,jump_core_accepted,normal,双手弹跳核心语义可评分；继续保持两只手同时稳定入画。,0.04870685196651341,0.057656330301181155,0.040608932112901466,semantic_action_window,True,jump_relation_semantic_floor,score_valid,score_valid,核心语义可评分。,True,1.0,1.0,1.0,True,used,action_window_net,84.97386773835608,True,0.9997262652221789,1.0,1.008410660853481,0.6691438404871951,1.0,6,22,,,,,,,True,,,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,1.0,0.002542995169082127,0.0,0.0017909634296471876,0.0027588801996548647,0.011288830204728295,0.010089209649714317,0.08586628769792938,0.04079521596680252,0.011835508064836592
web_20260523_041443_0292d680,2026-05-23T04:14:47,花,53,105,29.44954128440367,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_041443_0292d680/holistic/user_花_web_20260523_041443_0292d680_holistic_results.json,,79.2397950568015,normal_like,flower_core_accepted,normal,开花核心段可评分；继续保持手部完整入画和清晰张开动态。,0.029482937069314468,0.03374027482561618,0.03374027482561618,full_sequence_with_action_window_diagnostics,False,visible_semantic_core_scale,score_valid,score_valid,核心语义可评分。,True,1.0,0.7924528301886793,1.0,True,query_not_short_core_capture,short_visible_core,0.0,False,,,,,,,,,,,,,,True,0.8892769348621369,right_hand_shape,0.0,0.7924528301886793,0.0,1.0,1.0,0.0017795431976166832,0.0,0.013401847665030988,0.005884829721362231,0.0,0.0,0.0,0.0,0.0
web_20260523_041447_f7341789,2026-05-23T04:14:48,跳,19,37,14.682539682539682,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_041447_f7341789/holistic/user_跳_web_20260523_041447_f7341789_holistic_results.json,,84.97386773835608,normal_like,jump_core_accepted,normal,双手弹跳核心语义可评分；继续保持两只手同时稳定入画。,0.04870685196651341,0.057656330301181155,0.040608932112901466,semantic_action_window,True,jump_relation_semantic_floor,score_valid,score_valid,核心语义可评分。,True,1.0,1.0,1.0,True,used,action_window_net,84.97386773835608,True,0.9997262652221789,1.0,1.008410660853481,0.6691438404871951,1.0,6,22,,,,,,,True,,,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,1.0,0.002542995169082127,0.0,0.0017909634296471876,0.0027588801996548647,0.011288830204728295,0.010089209649714317,0.08586628769792938,0.04079521596680252,0.011835508064836592
