target_word,case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
花,self,target_positive_variant,high,53,100.0,0.0,0.0
花,subsample_even,target_positive_variant,high,27,95.77696427094187,0.01539710685330674,0.016264577480844315
花,trim_start_20pct,target_positive_variant,high,42,98.61365820507238,0.00041350825936932293,0.0022930401989365683
花,trim_end_20pct,target_positive_variant,high,42,83.29625696394596,0.0007638393904752382,0.022428484271563236
花,trim_both_10pct,target_positive_variant,high,43,98.64332093838112,0.0004336601830443232,0.002262529882808506
花,amplitude_0.85,target_positive_variant,high,53,80.3106069532393,0.028653916234663922,0.03179392991705743
花,amplitude_1.15,target_positive_variant,high,53,80.40601003573875,0.028737772637279235,0.03162178283175366
花,fake_reverse_time,synthetic_fake_action,low,53,20.40517312505013,0.03657461714592189,0.1907258079268524
花,fake_shuffle_frames,synthetic_fake_action,low,53,31.323363138672512,0.03185511403152675,0.13929671288685225
花,fake_static_hold,synthetic_fake_action,low,53,1.4603590369052721,0.02834501062470383,0.5071785437773932
花,fake_random_landmarks,synthetic_fake_action,low,53,1.4049455296381455,0.030773787296727088,0.5118205983473686
花,fake_random_walk,synthetic_fake_action,low,53,3.8942529342717087,0.0307501146784112,0.3894801991530628
花,other_demo_唱歌,other_demo_action,low,27,21.673463261673856,0.09817126271663867,0.1834897877940408
花,other_demo_指示,other_demo_action,low,30,26.928805521084115,0.08246863930993066,0.15743683621229604
花,other_demo_月亮,other_demo_action,low,47,13.90733780157574,0.042516401292514466,0.23673043028968482
花,other_demo_朋友,other_demo_action,low,28,25.15141278942806,0.08313565719123236,0.16563073397881561
花,other_demo_汽车,other_demo_action,low,44,13.891882427047364,0.03624002367085312,0.23686386173986512
花,other_demo_虎,other_demo_action,low,54,2.9283076400845243,0.060559141953681804,0.4236894632488126
花,other_demo_谗_羡慕,other_demo_action,low,32,32.04715880330705,0.039155617496924824,0.13655539865204785
花,other_demo_跳,other_demo_action,low,19,15.08977294926989,0.06432109281941949,0.22693835517099037
花,other_demo_香蕉,other_demo_action,low,42,12.561558385569649,0.052070467613326746,0.2489434748832639
跳,self,target_positive_variant,high,19,100.0,0.0,0.0
跳,subsample_even,target_positive_variant,high,10,81.48596768721619,0.033000513158259054,0.04629560051711508
跳,trim_start_20pct,target_positive_variant,high,15,80.58569779258947,0.04624779363427194,0.05281751758298966
跳,trim_end_20pct,target_positive_variant,high,15,81.00136093387849,0.04578402823586692,0.051782103415132986
跳,trim_both_10pct,target_positive_variant,high,15,80.98549690412744,0.04583516657497717,0.05183324175424323
跳,amplitude_0.85,target_positive_variant,high,19,76.82346596456401,0.04994921631417598,0.06222681927444253
跳,amplitude_1.15,target_positive_variant,high,19,95.51894286968364,0.005318013807481031,0.009641561744501525
跳,fake_reverse_time,synthetic_fake_action,low,19,20.524851148408747,0.11388784387796985,0.26873459426782786
跳,fake_shuffle_frames,synthetic_fake_action,low,19,21.53788353375653,0.07091197251416043,0.26055868518135106
跳,fake_static_hold,synthetic_fake_action,low,19,31.41784198959613,0.05153855836235612,0.13893530858621062
跳,fake_random_landmarks,synthetic_fake_action,low,19,0.1456504552975528,0.694568421830563,1.1084689378267467
跳,fake_random_walk,synthetic_fake_action,low,19,0.12157924695993627,0.872542938432358,1.1391251259428194
跳,other_demo_唱歌,other_demo_action,low,27,9.018842205005898,0.27768447905872573,0.4082869998381742
跳,other_demo_指示,other_demo_action,low,30,15.332844665237367,0.20635928589465252,0.3182274018393863
跳,other_demo_月亮,other_demo_action,low,47,13.833854558314643,0.25344082035327564,0.3356864488097546
跳,other_demo_朋友,other_demo_action,low,28,10.689441509204737,0.20932186055178698,0.3794471385708034
跳,other_demo_汽车,other_demo_action,low,44,9.384200842808655,0.31726172063685554,0.40154772690073404
跳,other_demo_花,other_demo_action,low,53,6.227361182035744,0.2215248850585088,0.47113973443378687
跳,other_demo_虎,other_demo_action,low,54,7.759874752671165,0.29449890513168164,0.43380220244872003
跳,other_demo_谗_羡慕,other_demo_action,low,32,4.843561596525063,0.2897464753892698,0.5137871590617844
跳,other_demo_香蕉,other_demo_action,low,42,18.057600379518675,0.1968677374379466,0.29046874871817807
