request_id,target_word,other_word,query_json,frame_count,timeline_frame_count,capture_fps,error,target_score,other_score,margin,target_band,other_band,target_capture_quality_status,target_capture_quality_reason,other_capture_quality_status,other_capture_quality_reason,target_score_scale_reason,other_score_scale_reason,target_semantic_floor_reason,other_semantic_floor_reason,target_core_presence,other_core_presence,eligible_for_gate,confusion_pass,confusion_reason
web_20260523_022509_a44cb853,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_022509_a44cb853/holistic/user_跳_web_20260523_022509_a44cb853_holistic_results.json,30,54,18.0,,74.91546989845658,73.66315436694562,1.252315531510959,borderline,borderline,score_valid,score_valid,score_valid,score_valid,jump_relation_semantic_floor,visible_semantic_core_scale,used,query_not_short_core_capture,1.0,1.0,True,False,cross_score_high_and_margin_low
web_20260523_044135_12fbd5bc,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_044135_12fbd5bc/holistic/user_跳_web_20260523_044135_12fbd5bc_holistic_results.json,30,54,18.0,,75.21195723460607,73.5596389273368,1.6523183072692689,normal_like,borderline,score_valid,score_valid,score_valid,score_valid,jump_relation_semantic_floor,visible_semantic_core_scale,used,query_not_short_core_capture,0.875,0.875,True,False,cross_score_high_and_margin_low
web_20260523_044358_00db9d4d,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_044358_00db9d4d/holistic/user_跳_web_20260523_044358_00db9d4d_holistic_results.json,25,45,18.0,,68.5169362954662,75.24364846379513,-6.72671216832893,borderline,normal_like,score_valid,score_valid,score_valid,score_valid,jump_relation_semantic_floor,visible_semantic_core_scale,used,query_not_short_core_capture,0.7142857142857143,1.0,True,False,cross_score_high_and_margin_low
