request_id,target_word,other_word,query_json,frame_count,timeline_frame_count,capture_fps,error,target_score,other_score,margin,target_band,other_band,target_capture_quality_status,target_capture_quality_reason,other_capture_quality_status,other_capture_quality_reason,target_score_scale_reason,other_score_scale_reason,target_semantic_floor_reason,other_semantic_floor_reason,target_core_presence,other_core_presence,eligible_for_gate,confusion_pass,confusion_reason
web_20260522_232642_fe440fb9,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232642_fe440fb9/holistic/user_花_web_20260522_232642_fe440fb9_holistic_results.json,15,,5.0,,79.8461858864898,2.6165020076647205,77.22968387882509,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_000032_5389521b,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_000032_5389521b/holistic/user_花_web_20260523_000032_5389521b_holistic_results.json,15,,5.0,,76.16829990096241,1.9334171965389744,74.23488270442344,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_000852_b2c2f1de,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_000852_b2c2f1de/holistic/user_花_web_20260523_000852_b2c2f1de_holistic_results.json,15,,5.0,,77.76499095032582,2.2523611919620703,75.51262975836376,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_000903_3123d2db,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_000903_3123d2db/holistic/user_花_web_20260523_000903_3123d2db_holistic_results.json,15,,5.0,,78.34899722430384,2.4231986683402598,75.92579855596358,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,flower_short_visible_core_semantic_floor,short_action_window_with_query_energy_peak,used,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_000913_d5072c6f,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_000913_d5072c6f/holistic/user_花_web_20260523_000913_d5072c6f_holistic_results.json,15,,5.0,,77.73467949563174,2.3822951436557123,75.35238435197603,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,action_window_coverage_low,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_001048_5bcb9948,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001048_5bcb9948/holistic/user_跳_web_20260523_001048_5bcb9948_holistic_results.json,15,,5.0,,74.19352126563943,15.671850004942527,58.521671260696905,borderline,low,score_valid,score_valid,semantic_mismatch,flower_opening_guard_failed,jump_relation_semantic_floor,default,used,opening_guard_too_weak,0.6666666666666666,1.0,True,True,passed
web_20260523_001100_dea381ee,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001100_dea381ee/holistic/user_跳_web_20260523_001100_dea381ee_holistic_results.json,15,,5.0,,4.97256737468603,15.046634701205635,-10.074067326519604,low,low,needs_recapture,jump_two_hand_presence_low,needs_recapture,flower_core_hand_presence_low,short_action_window_with_query_energy_peak,default,insufficient_two_hand_presence,opening_guard_too_weak,0.5,1.0,False,False,not_eligible
web_20260523_001113_b486eb41,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001113_b486eb41/holistic/user_跳_web_20260523_001113_b486eb41_holistic_results.json,15,,5.0,,2.50121953378663,16.588956870958395,-14.087737337171765,low,low,needs_recapture,jump_two_hand_presence_low,semantic_mismatch,flower_opening_guard_failed,short_action_window_with_query_energy_peak,default,insufficient_two_hand_presence,opening_guard_too_weak,0.0,1.0,False,False,not_eligible
web_20260523_001152_83546751,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001152_83546751/holistic/user_跳_web_20260523_001152_83546751_holistic_results.json,15,,5.0,,75.66319697050405,13.803742580319417,61.85945439018463,normal_like,low,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,used,jump_like_two_hand_confusion,1.0,1.0,True,True,passed
web_20260523_005246_dbadcd43,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005246_dbadcd43/holistic/user_花_web_20260523_005246_dbadcd43_holistic_results.json,11,,5.0,,76.23153473731854,2.53052247184054,73.701012265478,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,flower_short_visible_core_semantic_floor,short_action_window_with_query_energy_peak,used,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_005320_4bd5e0a3,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005320_4bd5e0a3/holistic/user_花_web_20260523_005320_4bd5e0a3_holistic_results.json,27,,29.44954128440367,,80.78406965319468,2.3884768939439316,78.39559275925075,normal_like,low,score_valid,score_valid,semantic_mismatch,phase_order_disorder,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_005533_c97daf95,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005533_c97daf95/holistic/user_花_web_20260523_005533_c97daf95_holistic_results.json,15,,5.0,,78.6161393335025,2.2743792888239756,76.34176004467852,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_005941_0ec0ccab,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005941_0ec0ccab/holistic/user_跳_web_20260523_005941_0ec0ccab_holistic_results.json,15,,5.0,,82.0638286623127,12.043479814333693,70.02034884797901,normal_like,low,score_valid,score_valid,semantic_mismatch,flower_opening_guard_failed,jump_relation_semantic_floor,default,used,opening_guard_too_weak,1.0,1.0,True,True,passed
web_20260523_005953_cdf0697d,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005953_cdf0697d/holistic/user_跳_web_20260523_005953_cdf0697d_holistic_results.json,15,,5.0,,4.449997514332308,11.367563774135386,-6.917566259803078,low,low,needs_recapture,jump_two_hand_presence_low,needs_recapture,flower_core_hand_presence_low,short_action_window_with_query_energy_peak,default,insufficient_two_hand_presence,opening_guard_too_weak,0.3333333333333333,0.6666666666666666,False,False,not_eligible
web_20260523_010004_7eaf7ee3,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010004_7eaf7ee3/holistic/user_跳_web_20260523_010004_7eaf7ee3_holistic_results.json,15,,5.0,,83.03992613675656,14.050109276153968,68.98981686060259,normal_like,low,score_valid,score_valid,semantic_mismatch,flower_opening_guard_failed,jump_relation_semantic_floor,default,used,opening_guard_too_weak,1.0,1.0,True,True,passed
web_20260523_010014_049faf7d,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010014_049faf7d/holistic/user_跳_web_20260523_010014_049faf7d_holistic_results.json,15,,5.0,,3.679921209053437,10.995244672238599,-7.315323463185162,low,low,needs_recapture,jump_two_hand_presence_low,needs_recapture,flower_core_hand_presence_low,short_action_window_with_query_energy_peak,default,insufficient_two_hand_presence,opening_guard_too_weak,0.3333333333333333,1.0,False,False,not_eligible
web_20260523_010203_88bdaf53,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010203_88bdaf53/holistic/user_花_web_20260523_010203_88bdaf53_holistic_results.json,30,,10.0,,72.18350409686145,8.218210923939253,63.9652931729222,borderline,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,1.0,0.2727272727272727,True,True,passed
