standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight
0,0,0.0,0.0,0.0,0.0,0.8259398937225341,0.8259398937225342,0.8259398937225342
0,2,0.0,0.07586206896551724,0.0,0.0,0.8259398937225341,0.8259398937225342,0.8259398937225342
2,2,0.07586206896551724,0.07586206896551724,0.0,0.0,0.8259398937225341,0.8259398937225342,0.8259398937225342
4,4,0.15172413793103448,0.15172413793103448,0.0,0.0,0.8422920107841492,0.8422920107841492,0.8422920107841492
6,6,0.22758620689655173,0.22758620689655173,0.0,0.0,1.0647779703140259,1.0647779703140259,1.0647779703140259
8,8,0.30344827586206896,0.30344827586206896,0.0,0.0,0.8259398937225341,0.8259398937225342,0.8259398937225342
10,10,0.3793103448275862,0.3793103448275862,0.0,0.0,0.8259398937225341,0.8259398937225342,0.8259398937225342
12,12,0.45517241379310347,0.45517241379310347,0.0,0.0,0.8259398937225341,0.8259398937225342,0.8259398937225342
14,14,0.5310344827586206,0.5310344827586206,0.0,0.0,0.8259398937225341,0.8259398937225342,0.8259398937225342
16,16,0.6068965517241379,0.6068965517241379,0.0,0.0,1.1408612728118896,1.1408612728118896,1.1408612728118896
18,18,0.6827586206896552,0.6827586206896552,0.0,0.0,1.573053002357483,1.573053002357483,1.573053002357483
20,20,0.7586206896551724,0.7586206896551724,0.0,0.0,1.69798743724823,1.69798743724823,1.69798743724823
22,22,0.8344827586206897,0.8344827586206897,0.0,0.0,1.511001706123352,1.511001706123352,1.511001706123352
24,24,0.9103448275862069,0.9103448275862069,0.0,0.0,1.2431732416152954,1.2431732416152954,1.2431732416152954
26,26,0.9862068965517241,0.9862068965517241,0.0,0.0,1.0928285121917725,1.0928285121917725,1.0928285121917725
28,28,1.0620689655172413,1.0620689655172413,0.0,0.0,1.1241989135742188,1.1241989135742188,1.1241989135742188
30,30,1.1379310344827587,1.1379310344827587,0.0,0.0,1.3199585676193237,1.3199585676193237,1.3199585676193237
32,32,1.2137931034482758,1.2137931034482758,0.0,0.0,1.4532185792922974,1.4532185792922974,1.4532185792922974
34,34,1.289655172413793,1.289655172413793,0.0,0.0,1.366801381111145,1.366801381111145,1.366801381111145
36,36,1.3655172413793104,1.3655172413793104,0.0,0.0,1.1329874992370605,1.1329874992370605,1.1329874992370605
38,38,1.4413793103448276,1.4413793103448276,0.0,0.0,0.9914410710334778,0.9914410710334778,0.9914410710334778
40,40,1.5172413793103448,1.5172413793103448,0.0,0.0,1.061881422996521,1.061881422996521,1.061881422996521
42,42,1.5931034482758621,1.5931034482758621,0.0,0.0,1.0515973567962646,1.0515973567962646,1.0515973567962646
44,44,1.6689655172413793,1.6689655172413793,0.0,0.0,0.9122593998908997,0.9122593998908997,0.9122593998908997
46,46,1.7448275862068965,1.7448275862068965,0.0,0.0,0.893231987953186,0.893231987953186,0.893231987953186
48,48,1.8206896551724139,1.8206896551724139,0.0,0.0,0.9327380061149596,0.9327380061149597,0.9327380061149597
