standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance
0,0,0.0,0.0,0.07494165480136872
4,0,0.13582554517133957,0.0,0.054463430196046825
8,0,0.27165109034267915,0.0,0.03820854384452104
12,0,0.4074766355140187,0.0,0.03918024256825447
16,0,0.5433021806853583,0.0,0.04616729959845543
20,0,0.6791277258566979,0.0,0.046378671079874034
24,0,0.8149532710280374,0.0,0.07923384614288807
28,0,0.950778816199377,0.0,0.12749189391732216
32,0,1.0866043613707166,0.0,0.15830514416098593
36,0,1.222429906542056,0.0,0.17520027235150337
40,0,1.3582554517133958,0.0,0.1831024660170078
44,0,1.4940809968847353,0.0,0.18755607068538666
48,0,1.6299065420560748,0.0,0.19195697128772737
52,0,1.7657320872274145,0.0,0.19327040702104567
56,0,1.901557632398754,0.0,0.19785256594419479
60,0,2.0373831775700935,0.0,0.20022515416145323
64,0,2.173208722741433,0.0,0.20347475945949556
68,0,2.309034267912773,0.0,0.20412438601255414
72,0,2.444859813084112,0.0,0.20677139550447463
76,0,2.580685358255452,0.0,0.20729805082082747
80,0,2.7165109034267916,0.0,0.21097980022430418
84,0,2.852336448598131,0.0,0.20538346946239472
88,0,2.9881619937694706,0.0,0.20453734785318373
92,0,3.1239875389408103,0.0,0.2024944746494293
96,0,3.2598130841121495,0.0,0.19961587518453597
100,0,3.3956386292834893,0.0,0.1936873197555542
104,0,3.531464174454829,0.0,0.19040096819400787
106,4,3.5993769470404984,0.16,0.31418135404586794
