standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance
0,0,0.0,0.0,0.0
0,4,0.0,0.13582554517133957,0.0
0,8,0.0,0.27165109034267915,0.0
0,12,0.0,0.4074766355140187,0.0
0,16,0.0,0.5433021806853583,0.0
0,20,0.0,0.6791277258566979,0.0
0,24,0.0,0.8149532710280374,0.0
4,24,0.13582554517133957,0.8149532710280374,0.0
8,24,0.27165109034267915,0.8149532710280374,0.0
12,24,0.4074766355140187,0.8149532710280374,0.0
16,24,0.5433021806853583,0.8149532710280374,0.0
20,24,0.6791277258566979,0.8149532710280374,0.0
24,24,0.8149532710280374,0.8149532710280374,0.0
28,28,0.950778816199377,0.950778816199377,0.0
32,32,1.0866043613707166,1.0866043613707166,0.0
36,36,1.222429906542056,1.222429906542056,0.0
40,40,1.3582554517133958,1.3582554517133958,0.0
44,44,1.4940809968847353,1.4940809968847353,0.0
48,48,1.6299065420560748,1.6299065420560748,0.0
52,52,1.7657320872274145,1.7657320872274145,0.0
56,56,1.901557632398754,1.901557632398754,0.0
60,60,2.0373831775700935,2.0373831775700935,0.0
64,64,2.173208722741433,2.173208722741433,0.0
68,68,2.309034267912773,2.309034267912773,0.0
72,72,2.444859813084112,2.444859813084112,0.0
76,76,2.580685358255452,2.580685358255452,0.0
80,80,2.7165109034267916,2.7165109034267916,0.0
84,84,2.852336448598131,2.852336448598131,0.0
88,88,2.9881619937694706,2.9881619937694706,0.0
92,92,3.1239875389408103,3.1239875389408103,0.0
96,96,3.2598130841121495,3.2598130841121495,0.0
100,100,3.3956386292834893,3.3956386292834893,0.0
104,104,3.531464174454829,3.531464174454829,0.0
106,106,3.5993769470404984,3.5993769470404984,0.0
