frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.14181818181818182,True,False,False,True,5.160775661468506,4.964252957019225
8,0.28363636363636363,True,False,False,True,1.9351410865783691,1.6400678420216643
12,0.4254545454545455,True,True,False,True,1.3718652725219727,1.2435129120929245
16,0.5672727272727273,True,True,False,True,42.521493434906006,30.93849103121273
20,0.7090909090909091,True,False,False,True,4.305975437164307,3.534409942049183
24,0.850909090909091,True,True,True,True,10.644784927368164,8.877159918325454
28,0.9927272727272728,True,True,True,True,114.28675937652588,99.04691939492221
32,1.1345454545454545,True,False,True,True,54.17307090759277,46.44232977401087
36,1.2763636363636364,True,True,True,True,37.517348766326904,30.015477400359398
40,1.4181818181818182,True,True,True,True,18.70548915863037,14.398710642636294
44,1.56,True,True,True,True,15.533372402191162,11.79446479655748
