standard_frame_idx,query_frame_idx,standard_timestamp_sec,query_timestamp_sec,distance,temporal_weighted_distance,frame_pair_weight,standard_frame_weight,query_frame_weight
0,0,0.0,0.0,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
0,2,0.0,0.06791277258566979,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
0,4,0.0,0.13582554517133957,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
0,6,0.0,0.20373831775700935,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
0,8,0.0,0.27165109034267915,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
0,10,0.0,0.33956386292834895,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
0,12,0.0,0.4074766355140187,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
0,14,0.0,0.4753894080996885,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
0,16,0.0,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
2,16,0.06791277258566979,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
4,16,0.13582554517133957,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
6,16,0.20373831775700935,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
8,16,0.27165109034267915,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
10,16,0.33956386292834895,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
12,16,0.4074766355140187,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
14,16,0.4753894080996885,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
16,16,0.5433021806853583,0.5433021806853583,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
18,18,0.611214953271028,0.611214953271028,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
20,20,0.6791277258566979,0.6791277258566979,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
20,22,0.6791277258566979,0.7470404984423676,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
20,24,0.6791277258566979,0.8149532710280374,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
20,26,0.6791277258566979,0.8828660436137072,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
22,26,0.7470404984423676,0.8828660436137072,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
24,26,0.8149532710280374,0.8828660436137072,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
26,26,0.8828660436137072,0.8828660436137072,0.0,0.0,0.7046579718589783,0.7046579718589783,0.7046579718589783
28,28,0.950778816199377,0.950778816199377,0.0,0.0,1.1999843120574951,1.1999843120574951,1.1999843120574951
30,30,1.0186915887850467,1.0186915887850467,0.0,0.0,1.700795292854309,1.700795292854309,1.700795292854309
32,32,1.0866043613707166,1.0866043613707166,0.0,0.0,1.7688677310943604,1.7688677310943604,1.7688677310943604
34,34,1.1545171339563864,1.1545171339563864,0.0,0.0,1.6726292371749878,1.6726292371749878,1.6726292371749878
36,36,1.222429906542056,1.222429906542056,0.0,0.0,1.8560278415679932,1.8560278415679932,1.8560278415679932
38,38,1.290342679127726,1.290342679127726,0.0,0.0,2.074805736541748,2.074805736541748,2.074805736541748
40,40,1.3582554517133958,1.3582554517133958,0.0,0.0,1.8951876163482666,1.8951876163482666,1.8951876163482666
42,42,1.4261682242990654,1.4261682242990654,0.0,0.0,1.6245051622390745,1.6245051622390747,1.6245051622390747
44,44,1.4940809968847353,1.4940809968847353,0.0,0.0,1.6831051111221313,1.6831051111221313,1.6831051111221313
46,46,1.5619937694704051,1.5619937694704051,0.0,0.0,1.8653953075408936,1.8653953075408936,1.8653953075408936
