frame_idx,timestamp_sec,pose_present,left_hand_present,right_hand_present,face_present,motion_energy,bbox_shift
0,0.0,True,False,False,True,0.0,0.0
4,0.17932203389830506,True,False,False,True,5.601471424102783,4.909922593115157
8,0.3586440677966101,True,True,True,True,4.709470272064209,4.625804326475913
12,0.5379661016949152,True,False,True,True,79.1809024810791,61.92157839727645
16,0.7172881355932202,True,True,True,True,51.20896100997925,37.73157316534639
20,0.8966101694915254,True,True,True,True,28.47337770462036,21.13652630554549
24,1.0759322033898304,True,True,True,True,11.439715385437012,9.328216747546572
28,1.2552542372881355,True,True,True,True,11.124418258666992,9.316450665858829
32,1.4345762711864405,True,True,True,True,23.124698638916016,19.195687882646517
36,1.6138983050847457,True,True,True,True,13.50505542755127,10.473043078593081
40,1.7932203389830508,True,True,True,True,8.525760650634766,6.614338042288318
44,1.9725423728813558,True,True,True,True,3.9410018920898438,3.279497491466211
